k	x	|x_k - x_k-1|	f(x_k)
0	2.5	-	0.056852819440054714
1	2.4772588722239783	0.022741127776021663	-0.0010667901301668614
2	2.4776777288226386	0.0004188565986602555	1.9883056546099453e-05
3	2.4776700649274237	7.663895214893301e-06	6.909611105498925e-09
4	2.4776700622631984	2.6642252848319004e-09	-4.451994328746878e-14
