k	x	|x_k - x_k-1|	f(x_k)
0	2.5	-	0.056852819440054714
1	2.4772588722239783	0.022741127776021663	-0.0010667901301668614
2	2.477669919337489	0.00041104711351058754	-3.7067723601680314e-07
3	2.4776700622631984	1.429257094898162e-07	-4.451994328746878e-14
